
(process:162150): pxbackend-WARNING **: 20:23:14.798: Could not query proxy: GDBus.Error:org.freedesktop.portal.Error.NotAllowed: This call is not available inside the sandbox
=======================================================
  GameControlPlus V1.2.2 created by
  Christian Riekoff and Peter Lager
=======================================================
Linux plugin claims to have found 13 controllers
[Controller] Connected via matched-silent: Microsoft X-Box 360 pad 0
=== Controller matched: Microsoft X-Box 360 pad 0 ===
  SLIDER: 'x'
  SLIDER: 'y'
  SLIDER: 'z'
  SLIDER: 'rx'
  SLIDER: 'ry'
  SLIDER: 'rz'
  BUTTON: 'A'
  BUTTON: 'B'
  BUTTON: 'X'
  BUTTON: 'Y'
  BUTTON: 'Left Thumb'
  BUTTON: 'Right Thumb'
  BUTTON: 'Select'
  BUTTON: 'Unknown'
  BUTTON: 'Mode'
  BUTTON: 'Left Thumb 3'
  BUTTON: 'Right Thumb 3'
  HAT: 'cooliehat: pov'
==== JavaSound Minim Error ====
==== Don't know the ID3 code WXXX

==== JavaSound Minim Error ====
==== Don't know the ID3 code WXXX

Successfully loaded the GPU Milkdrop Shader!
discoverSkyboxNames: found 26 skyboxes in /home/xdd/Documents/code/music-visualizer-4-friend/.build/Music_Visualizer_CK/../../media/skyboxes/
The file ".scene_prefs" is missing or inaccessible, make sure the URL is valid or that the file has been added to your sketch and is readable.
The file "../media/h3_emblem.jpg" is missing or inaccessible, make sure the URL is valid or that the file has been added to your sketch and is readable.
SCENE: 44 | CONTROLLER: true | FPS: 797
SCENE: 44 | CONTROLLER: true | FPS: 794
SCENE: 44 | CONTROLLER: true | FPS: 785
SCENE: 44 | CONTROLLER: true | FPS: 828
SCENE: 44 | CONTROLLER: true | FPS: 804
SCENE: 44 | CONTROLLER: true | FPS: 811
SCENE: 44 | CONTROLLER: true | FPS: 620
SCENE: 44 | CONTROLLER: true | FPS: 882
SCENE: 44 | CONTROLLER: true | FPS: 821
SCENE: 44 | CONTROLLER: true | FPS: 881
SCENE: 44 | CONTROLLER: true | FPS: 821
SCENE: 44 | CONTROLLER: true | FPS: 782
SCENE: 44 | CONTROLLER: true | FPS: 893
SCENE: 44 | CONTROLLER: true | FPS: 605
SCENE: 44 | CONTROLLER: true | FPS: 807
SCENE: 44 | CONTROLLER: true | FPS: 801
SCENE: 44 | CONTROLLER: true | FPS: 523
SCENE: 44 | CONTROLLER: true | FPS: 769
SCENE: 44 | CONTROLLER: true | FPS: 861
SCENE: 44 | CONTROLLER: true | FPS: 772
SCENE: 44 | CONTROLLER: true | FPS: 823
SCENE: 44 | CONTROLLER: true | FPS: 863
SCENE: 44 | CONTROLLER: true | FPS: 871
SCENE: 44 | CONTROLLER: true | FPS: 457
SCENE: 44 | CONTROLLER: true | FPS: 777
SCENE: 44 | CONTROLLER: true | FPS: 793
SCENE: 44 | CONTROLLER: true | FPS: 884
SCENE: 44 | CONTROLLER: true | FPS: 817
SCENE: 44 | CONTROLLER: true | FPS: 747
SCENE: 44 | CONTROLLER: true | FPS: 851
SCENE: 44 | CONTROLLER: true | FPS: 797
SCENE: 44 | CONTROLLER: true | FPS: 860
SCENE: 44 | CONTROLLER: true | FPS: 785
SCENE: 44 | CONTROLLER: true | FPS: 861
SCENE: 44 | CONTROLLER: true | FPS: 812
SCENE: 44 | CONTROLLER: true | FPS: 823
SCENE: 44 | CONTROLLER: true | FPS: 565
SCENE: 44 | CONTROLLER: true | FPS: 761
SCENE: 44 | CONTROLLER: true | FPS: 676
SCENE: 44 | CONTROLLER: true | FPS: 753
SCENE: 44 | CONTROLLER: true | FPS: 825
SCENE: 44 | CONTROLLER: true | FPS: 825
SCENE: 44 | CONTROLLER: true | FPS: 782
CONTROLLER: LB pressed -> switching prev
SCENE: 44 | CONTROLLER: true | FPS: 747
SCENE: 44 | CONTROLLER: true | FPS: 784
SCENE: 43 | CONTROLLER: true | FPS: 275
SCENE: 43 | CONTROLLER: true | FPS: 684
SCENE: 43 | CONTROLLER: true | FPS: 759
SCENE: 43 | CONTROLLER: true | FPS: 920
SCENE: 43 | CONTROLLER: true | FPS: 912
SCENE: 43 | CONTROLLER: true | FPS: 889
SCENE: 43 | CONTROLLER: true | FPS: 989
SCENE: 43 | CONTROLLER: true | FPS: 903
SCENE: 43 | CONTROLLER: true | FPS: 944
SCENE: 43 | CONTROLLER: true | FPS: 907
SCENE: 43 | CONTROLLER: true | FPS: 941
SCENE: 43 | CONTROLLER: true | FPS: 839
SCENE: 43 | CONTROLLER: true | FPS: 868
SCENE: 43 | CONTROLLER: true | FPS: 870
SCENE: 43 | CONTROLLER: true | FPS: 932
SCENE: 43 | CONTROLLER: true | FPS: 849
SCENE: 43 | CONTROLLER: true | FPS: 690
SCENE: 43 | CONTROLLER: true | FPS: 902
SCENE: 43 | CONTROLLER: true | FPS: 948
SCENE: 43 | CONTROLLER: true | FPS: 889
SCENE: 43 | CONTROLLER: true | FPS: 920
SCENE: 43 | CONTROLLER: true | FPS: 898
SCENE: 43 | CONTROLLER: true | FPS: 845
SCENE: 43 | CONTROLLER: true | FPS: 871
SCENE: 43 | CONTROLLER: true | FPS: 924
SCENE: 43 | CONTROLLER: true | FPS: 852
SCENE: 43 | CONTROLLER: true | FPS: 844
SCENE: 43 | CONTROLLER: true | FPS: 931
SCENE: 43 | CONTROLLER: true | FPS: 969
SCENE: 43 | CONTROLLER: true | FPS: 889
SCENE: 43 | CONTROLLER: true | FPS: 956
SCENE: 43 | CONTROLLER: true | FPS: 905
SCENE: 43 | CONTROLLER: true | FPS: 949
SCENE: 43 | CONTROLLER: true | FPS: 913
SCENE: 43 | CONTROLLER: true | FPS: 865
SCENE: 43 | CONTROLLER: true | FPS: 927
SCENE: 43 | CONTROLLER: true | FPS: 962
SCENE: 43 | CONTROLLER: true | FPS: 766
SCENE: 43 | CONTROLLER: true | FPS: 880
SCENE: 43 | CONTROLLER: true | FPS: 875
SCENE: 43 | CONTROLLER: true | FPS: 878
SCENE: 43 | CONTROLLER: true | FPS: 866
SCENE: 43 | CONTROLLER: true | FPS: 932
SCENE: 43 | CONTROLLER: true | FPS: 874
SCENE: 43 | CONTROLLER: true | FPS: 875
SCENE: 43 | CONTROLLER: true | FPS: 913
SCENE: 43 | CONTROLLER: true | FPS: 851
SCENE: 43 | CONTROLLER: true | FPS: 867
SCENE: 43 | CONTROLLER: true | FPS: 926
SCENE: 43 | CONTROLLER: true | FPS: 1009
SCENE: 43 | CONTROLLER: true | FPS: 876
SCENE: 43 | CONTROLLER: true | FPS: 936
SCENE: 43 | CONTROLLER: true | FPS: 943
SCENE: 43 | CONTROLLER: true | FPS: 847
SCENE: 43 | CONTROLLER: true | FPS: 741
SCENE: 43 | CONTROLLER: true | FPS: 941
SCENE: 43 | CONTROLLER: true | FPS: 868
SCENE: 43 | CONTROLLER: true | FPS: 853
SCENE: 43 | CONTROLLER: true | FPS: 946
SCENE: 43 | CONTROLLER: true | FPS: 905
SCENE: 43 | CONTROLLER: true | FPS: 876
SCENE: 43 | CONTROLLER: true | FPS: 899
SCENE: 43 | CONTROLLER: true | FPS: 942
SCENE: 43 | CONTROLLER: true | FPS: 709
SCENE: 43 | CONTROLLER: true | FPS: 875
SCENE: 43 | CONTROLLER: true | FPS: 922
SCENE: 43 | CONTROLLER: true | FPS: 852
SCENE: 43 | CONTROLLER: true | FPS: 859
SCENE: 43 | CONTROLLER: true | FPS: 940
SCENE: 43 | CONTROLLER: true | FPS: 835
SCENE: 43 | CONTROLLER: true | FPS: 899
SCENE: 43 | CONTROLLER: true | FPS: 917
SCENE: 43 | CONTROLLER: true | FPS: 929
SCENE: 43 | CONTROLLER: true | FPS: 800
SCENE: 43 | CONTROLLER: true | FPS: 846
SCENE: 43 | CONTROLLER: true | FPS: 806
SCENE: 43 | CONTROLLER: true | FPS: 903
SCENE: 43 | CONTROLLER: true | FPS: 890
SCENE: 43 | CONTROLLER: true | FPS: 906
SCENE: 43 | CONTROLLER: true | FPS: 904
SCENE: 43 | CONTROLLER: true | FPS: 940
SCENE: 43 | CONTROLLER: true | FPS: 867
SCENE: 43 | CONTROLLER: true | FPS: 921
SCENE: 43 | CONTROLLER: true | FPS: 836
SCENE: 43 | CONTROLLER: true | FPS: 869
SCENE: 43 | CONTROLLER: true | FPS: 895
SCENE: 43 | CONTROLLER: true | FPS: 892
SCENE: 43 | CONTROLLER: true | FPS: 882
SCENE: 43 | CONTROLLER: true | FPS: 920
SCENE: 43 | CONTROLLER: true | FPS: 875
SCENE: 43 | CONTROLLER: true | FPS: 682
CONTROLLER: LB pressed -> switching prev
SCENE: 42 | CONTROLLER: true | FPS: 113
SCENE: 42 | CONTROLLER: true | FPS: 520
SCENE: 42 | CONTROLLER: true | FPS: 761
SCENE: 42 | CONTROLLER: true | FPS: 707
SCENE: 42 | CONTROLLER: true | FPS: 777
SCENE: 42 | CONTROLLER: true | FPS: 791
SCENE: 42 | CONTROLLER: true | FPS: 689
SCENE: 42 | CONTROLLER: true | FPS: 764
SCENE: 42 | CONTROLLER: true | FPS: 875
SCENE: 42 | CONTROLLER: true | FPS: 878
SCENE: 42 | CONTROLLER: true | FPS: 832
SCENE: 42 | CONTROLLER: true | FPS: 851
SCENE: 42 | CONTROLLER: true | FPS: 742
SCENE: 42 | CONTROLLER: true | FPS: 832
SCENE: 42 | CONTROLLER: true | FPS: 867
SCENE: 42 | CONTROLLER: true | FPS: 848
SCENE: 42 | CONTROLLER: true | FPS: 847
SCENE: 42 | CONTROLLER: true | FPS: 864
SCENE: 42 | CONTROLLER: true | FPS: 867
SCENE: 42 | CONTROLLER: true | FPS: 831
SCENE: 42 | CONTROLLER: true | FPS: 875
SCENE: 42 | CONTROLLER: true | FPS: 863
SCENE: 42 | CONTROLLER: true | FPS: 884
SCENE: 42 | CONTROLLER: true | FPS: 422
SCENE: 42 | CONTROLLER: true | FPS: 781
SCENE: 42 | CONTROLLER: true | FPS: 888
SCENE: 42 | CONTROLLER: true | FPS: 830
SCENE: 42 | CONTROLLER: true | FPS: 841
SCENE: 42 | CONTROLLER: true | FPS: 873
SCENE: 42 | CONTROLLER: true | FPS: 860
SCENE: 42 | CONTROLLER: true | FPS: 816
SCENE: 42 | CONTROLLER: true | FPS: 846
SCENE: 42 | CONTROLLER: true | FPS: 941
SCENE: 42 | CONTROLLER: true | FPS: 824
SCENE: 42 | CONTROLLER: true | FPS: 793
SCENE: 42 | CONTROLLER: true | FPS: 809
SCENE: 42 | CONTROLLER: true | FPS: 911
SCENE: 42 | CONTROLLER: true | FPS: 819
SCENE: 42 | CONTROLLER: true | FPS: 883
SCENE: 42 | CONTROLLER: true | FPS: 858
SCENE: 42 | CONTROLLER: true | FPS: 868
SCENE: 42 | CONTROLLER: true | FPS: 353
SCENE: 42 | CONTROLLER: true | FPS: 855
SCENE: 42 | CONTROLLER: true | FPS: 876
SCENE: 42 | CONTROLLER: true | FPS: 913
SCENE: 42 | CONTROLLER: true | FPS: 821
SCENE: 42 | CONTROLLER: true | FPS: 907
SCENE: 42 | CONTROLLER: true | FPS: 873
SCENE: 42 | CONTROLLER: true | FPS: 851
SCENE: 42 | CONTROLLER: true | FPS: 796
SCENE: 42 | CONTROLLER: true | FPS: 926
SCENE: 42 | CONTROLLER: true | FPS: 849
SCENE: 42 | CONTROLLER: true | FPS: 902
SCENE: 42 | CONTROLLER: true | FPS: 855
SCENE: 42 | CONTROLLER: true | FPS: 833
SCENE: 42 | CONTROLLER: true | FPS: 819
SCENE: 42 | CONTROLLER: true | FPS: 776
SCENE: 42 | CONTROLLER: true | FPS: 837
SCENE: 42 | CONTROLLER: true | FPS: 698
SCENE: 42 | CONTROLLER: true | FPS: 862
SCENE: 42 | CONTROLLER: true | FPS: 854
SCENE: 42 | CONTROLLER: true | FPS: 647
SCENE: 42 | CONTROLLER: true | FPS: 876
SCENE: 42 | CONTROLLER: true | FPS: 670
SCENE: 42 | CONTROLLER: true | FPS: 855
SCENE: 42 | CONTROLLER: true | FPS: 884
SCENE: 42 | CONTROLLER: true | FPS: 851
SCENE: 42 | CONTROLLER: true | FPS: 855
SCENE: 42 | CONTROLLER: true | FPS: 796
SCENE: 42 | CONTROLLER: true | FPS: 871
SCENE: 42 | CONTROLLER: true | FPS: 868
SCENE: 42 | CONTROLLER: true | FPS: 831
SCENE: 42 | CONTROLLER: true | FPS: 845
SCENE: 42 | CONTROLLER: true | FPS: 822
SCENE: 42 | CONTROLLER: true | FPS: 806
SCENE: 42 | CONTROLLER: true | FPS: 770
SCENE: 42 | CONTROLLER: true | FPS: 875
SCENE: 42 | CONTROLLER: true | FPS: 777
SCENE: 42 | CONTROLLER: true | FPS: 769
SCENE: 42 | CONTROLLER: true | FPS: 834
SCENE: 42 | CONTROLLER: true | FPS: 910
SCENE: 42 | CONTROLLER: true | FPS: 868
SCENE: 42 | CONTROLLER: true | FPS: 863
SCENE: 42 | CONTROLLER: true | FPS: 914
SCENE: 42 | CONTROLLER: true | FPS: 876
SCENE: 42 | CONTROLLER: true | FPS: 640
SCENE: 42 | CONTROLLER: true | FPS: 835
SCENE: 42 | CONTROLLER: true | FPS: 850
SCENE: 42 | CONTROLLER: true | FPS: 950
SCENE: 42 | CONTROLLER: true | FPS: 869
SCENE: 42 | CONTROLLER: true | FPS: 855
SCENE: 42 | CONTROLLER: true | FPS: 901
SCENE: 42 | CONTROLLER: true | FPS: 679
SCENE: 42 | CONTROLLER: true | FPS: 813
SCENE: 42 | CONTROLLER: true | FPS: 926
SCENE: 42 | CONTROLLER: true | FPS: 877
SCENE: 42 | CONTROLLER: true | FPS: 736
SCENE: 42 | CONTROLLER: true | FPS: 863
SCENE: 42 | CONTROLLER: true | FPS: 890
SCENE: 42 | CONTROLLER: true | FPS: 862
SCENE: 42 | CONTROLLER: true | FPS: 847
SCENE: 42 | CONTROLLER: true | FPS: 800
SCENE: 42 | CONTROLLER: true | FPS: 819
SCENE: 42 | CONTROLLER: true | FPS: 825
SCENE: 42 | CONTROLLER: true | FPS: 808
SCENE: 42 | CONTROLLER: true | FPS: 813
SCENE: 42 | CONTROLLER: true | FPS: 845
SCENE: 42 | CONTROLLER: true | FPS: 800
SCENE: 42 | CONTROLLER: true | FPS: 849
SCENE: 42 | CONTROLLER: true | FPS: 714
SCENE: 42 | CONTROLLER: true | FPS: 717
SCENE: 42 | CONTROLLER: true | FPS: 882
SCENE: 42 | CONTROLLER: true | FPS: 868
SCENE: 42 | CONTROLLER: true | FPS: 876
SCENE: 42 | CONTROLLER: true | FPS: 872
SCENE: 42 | CONTROLLER: true | FPS: 817
SCENE: 42 | CONTROLLER: true | FPS: 787
SCENE: 42 | CONTROLLER: true | FPS: 834
SCENE: 42 | CONTROLLER: true | FPS: 866
SCENE: 42 | CONTROLLER: true | FPS: 871
SCENE: 42 | CONTROLLER: true | FPS: 751
SCENE: 42 | CONTROLLER: true | FPS: 850
SCENE: 42 | CONTROLLER: true | FPS: 836
SCENE: 42 | CONTROLLER: true | FPS: 918
SCENE: 42 | CONTROLLER: true | FPS: 798
SCENE: 42 | CONTROLLER: true | FPS: 896
SCENE: 42 | CONTROLLER: true | FPS: 864
SCENE: 42 | CONTROLLER: true | FPS: 865
SCENE: 42 | CONTROLLER: true | FPS: 905
SCENE: 42 | CONTROLLER: true | FPS: 790
SCENE: 42 | CONTROLLER: true | FPS: 867
SCENE: 42 | CONTROLLER: true | FPS: 884
SCENE: 42 | CONTROLLER: true | FPS: 805
SCENE: 42 | CONTROLLER: true | FPS: 947
SCENE: 42 | CONTROLLER: true | FPS: 828
SCENE: 42 | CONTROLLER: true | FPS: 888
SCENE: 42 | CONTROLLER: true | FPS: 922
